ID,President,Born,Died,Age
1,George Washington,2/22/1840,9/27/1904,"67 years, 295 days"
2,John Adams,10/30/1840,9/30/1904,"90 years, 247 days"
3,Thomas Jefferson,4/13/1840,10/8/1904,"83 years, 82 days"
4,James Madison,3/16/1840,10/16/1904,"85 years, 104 days"
5,James Monroe,4/28/1840,10/23/1904,"73 years, 67 days"
6,John Quincy Adams,7/11/1840,11/1/1904,"80 years, 227 days"
7,Andrew Jackson,3/15/1840,11/1/1904,"78 years, 85 days"
8,Marchtin Van Buren,12/5/1840,11/16/1904,"79 years, 231 days"
9,William Henry Harrison,2/9/1840,11/7/1904,"68 years, 54 days"
10,John Tyler,3/29/1840,11/24/1904,"71 years, 295 days"
11,James K. Polk,11/2/1840,11/29/1904,"53 years, 225 days"
12,Zachary Taylor,11/24/1840,11/18/1904,"65 years, 227 days"
13,Millard Fillmore,1/7/1840,12/4/1904,"74 years, 60 days"
14,Franklin Pierce,11/23/1840,4/18/2024,"64 years, 319 days"
15,James Buchanan,4/23/1840,11/25/1904,"77 years, 39 days"
16,Abraham Lincoln,2/12/1840,9/18/2024,"56 years, 62 days"
17,Andrew Johnson,12/29/1840,8/18/2024,"66 years, 214 days"
18,Ulysses S. Grant,4/27/1840,12/26/1904,"63 years, 87 days"
19,Rutherford B. Hayes,10/4/1840,12/26/1904,"70 years, 105 days"
20,James A. Garfield,11/19/1840,1/4/1905,"49 years, 304 days"
21,Chester A. Arthur,10/5/1840,1/2/1905,"57 years, 44 days"
22,Grover Cleveland,3/18/1840,1/10/1905,"71 years, 98 days"
23,Benjamin Harrison,8/20/1840,1/6/1905,"67 years, 205 days"
24,Grover Cleveland,3/18/1840,1/10/1905,"71 years, 98 days"
25,William McKinley,1/29/1840,1/16/1905,"58 years, 228 days"
26,Theodore Roosevelt,10/27/1840,1/31/1905,"60 years, 71 days"
27,William Howard Taft,9/15/1840,1/30/1905,"72 years, 174 days"
28,Woodrow Wilson,12/28/1840,1/29/1905,"67 years, 37 days"
29,Warren G. Harding,11/2/1840,2/7/1905,"57 years, 273 days"
30,Calvin Coolidge,7/4/1840,2/14/1905,"60 years, 185 days"
31,Herbert Hoover,8/10/1840,2/16/1905,"90 years, 71 days"
32,Franklin D. Roosevelt,1/30/1840,2/24/1905,"63 years, 72 days"
33,Harry S. Truman,5/8/1840,2/26/1905,"88 years, 232 days"
34,Dwight D. Eisenhower,10/14/1840,3/4/1905,"78 years, 165 days"
35,John F. Kennedy,5/29/2017,11/22/1963,"46 years, 177 days"
36,Lyndon B. Johnson,8/27/2008,1/22/1973,"64 years, 148 days"
37,Richard Nixon,1/9/2013,4/22/1994,"81 years, 103 days"
38,Gerald Ford,7/14/2013,12/26/2006,"93 years, 165 days"
39,Jimmy Carter,10/1/2024,Living,"98 years, 355 days"
40,Ronald Reagan,2/6/2011,6/5/2004,"93 years, 120 days"
41,George H. W. Bush,6/12/1960,11/30/2018,"94 years, 171 days"
42,Bill Clinton,8/19/1946,Living,"77 years, 33 days"
43,George W. Bush,7/6/1946,Living,"77 years, 77 days"
44,Barack Obama,8/4/1961,Living,"62 years, 48 days"
45,Donald Trump,6/14/1946,Living,"77 years, 99 days"
46,Joe Biden,11/20/1942,Living,"80 years, 305 days"
